"id_nomenclature","id_type","label","description","parentid"
56,9,Très bon état,,
57,9,Bon état,,
58,9,Mauvais état,,
59,9,Très mauvais état,,
60,9,Pas noté,,
61,10,"15 minutes",,
62,10,"30 minutes",,
63,10,Accès direct,,
64,10,"45 minutes",,
65,10,"1 h 30",,
66,10,"2 h",,
67,10,"2 h 30",,
68,10,"3 h",,
69,10,"1 heure",,
70,10,Plus de 3 h,,
71,11,Perpendiculaire aux courbes de niveau,,
72,11,Parallèle aux courbes de niveau,,
75,12,Nord,,
76,12,Nord Est,,
77,12,Est,,
78,12,Sud Est,,
79,12,Sud,,
80,12,Sud Ouest,,
81,12,Ouest,,
82,12,Nord Ouest,,
83,13,"1",valeur de la note patri,
84,13,"2",valeur de la note patri,
85,13,"3",valeur de la note patri,
86,13,"4",valeur de la note patri,
87,13,"5",valeur de la note patri,
88,13,"6",valeur de la note patri,
89,14,Vallouise,,
90,14,Embrunais,,
91,14,Champsaur,,
29,7,mur et toit /traditionnel / avec,"Mur et toit distincts, bâtiment traditionnel avec protection contre les avalanches",
31,7,mur-toit / contemporain / avec,"Mur et toit confondus, construit avec apport de matériaux et mécanisation, présence de protection contre les avalanches",
32,7,mur-toit / archaïque / avec,"Mur et toit confondus, construit avec des matériaux locaux, présence de protection contre les avalanches",
33,7,mur-toit / archaïque / sans,"Mur et toit confondus, construit avec des matériaux locaux, sans protection contre les avalanches",
34,7,mur-toit / contemporain / sans,"Mur et toit confondus, construit avec apport de matériaux et mécanisation, sans protection contre les avalanches",
35,7,mur et toit / traditionnel / sans,"Mur et toit distincts, bâtiment traditionnel sans protection contre les avalanches",
36,7,mur et toit / contemporain / avec,"Mur et toit distincts,***  avec protection contre les avalanches",
37,7,mur et toit / contemporain / sans,"Mur et toit distincts,***  sans protection contre les avalanches",
38,7,mur et toit / archaïque / sans,"Mur et toit distincts,***  sans protection contre les avalanches",
39,7,mur et toit / archaïque / avec,"Mur et toit distincts,***  avec protection contre les avalanches",
40,7,maison agricole avec,avec protection contre les avalanches,
41,7,maison agricole sans,sans protection contre les avalanches,
42,7,mur et dalle,mur et dalle,
92,14,Valgaudemar,,
93,14,Valbonnais,,
94,14,Oisans,,
95,14,Briançonnais,,
96,15,Appareillé,,
97,15,Balayé,,
98,15,Banché,,
99,15,Bouchardé,,
100,15,Brut,,
101,15,Ciré,,
